player_name,round_number,season,playoffownership,topownership,eliteownership,topdiff,elitediff
Brian Robinson,14.6,2022,0.08593085106382979,0.08018308187828445,0.09056603773584905,-0.005747769185545343,0.004635186672019259
Bryan Edwards,17.5,2022,0.015664893617021277,0.010679776233259875,0.007547169811320755,-0.004985117383761402,-0.008117723805700522
Brycen Hopkins,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Byron Pringle,17.5,2022,0.015930851063829788,0.014748262417358875,0.016981132075471698,-0.0011825886464709133,0.0010502810116419098
C.J. Uzomah,17.4,2022,0.010199468085106383,0.006272249533819291,0.0018867924528301887,-0.003927218551287092,-0.008312675632276195
Cade Otton,17.7,2022,0.0025930851063829786,0.0030513646380742497,NA,4.582795316912711e-4,NA
Calvin Austin,17.8,2022,4.920212765957447e-4,3.390405153415833e-4,NA,-1.5298076125416142e-4,NA
Calvin Ridley,17.5,2022,2.6595744680851064e-5,NA,NA,NA,NA
Cam Akers,4.6,2022,0.056582446808510635,0.03898965926428208,0.04339622641509434,-0.017592787544228557,-0.013186220393416298
Cam Sims,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Cameron Brate,16.8,2022,0.03511968085106383,0.028140362773351416,0.03018867924528302,-0.006979318077712415,-0.004931001605780812
Carson Wentz,17,2022,0.06132978723404255,0.058823529411764705,0.04905660377358491,-0.002506257822277848,-0.012273183460457644
Case Keenum,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Cedrick Wilson,17.5,2022,0.02529255319148936,0.026784200711985083,0.018867924528301886,0.0014916475204957216,-0.006424628663187475
CeeDee Lamb,1.8,2022,0.07890957446808511,0.06679098152229192,0.04905660377358491,-0.012118592945793191,-0.0298529706945002
Chad Henne,12,2022,1.3297872340425532e-5,NA,NA,NA,NA
Charlie Kolar,17.8,2022,1.1968085106382978e-4,NA,NA,NA,NA
Chase Claypool,9.5,2022,0.07852393617021276,0.0771317172402102,0.06792452830188679,-0.0013922189300025617,-0.010599407868325972
Chase Edmonds,8.3,2022,0.0530718085106383,0.036446855399220206,0.03018867924528302,-0.016624953111418095,-0.02288312926535528
Chigoziem Okonkwo,17.8,2022,1.5957446808510637e-4,3.390405153415833e-4,NA,1.7946604725647692e-4,NA
Chris Carson,16.8,2022,7.845744680851064e-4,5.085607730123749e-4,NA,-2.7601369507273144e-4,NA
Chris Conley,17.9,2022,1.8617021276595746e-4,NA,NA,NA,NA
Chris Evans,17.2,2022,0.024268617021276594,0.018138667570774706,0.016981132075471698,-0.006129949450501888,-0.0072874849458048965
Chris Godwin,5.1,2022,0.07253989361702128,0.06051873198847262,0.04716981132075472,-0.012021161628548653,-0.025370082296266555
Chris Manhertz,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Chris Moore,18,2022,5.319148936170213e-5,1.6952025767079165e-4,NA,1.1632876830908951e-4,NA
Chris Olave,8.2,2022,0.08787234042553191,0.08408204780471266,0.08679245283018867,-0.003790292620819244,-0.0010798875953432346
Christian Kirk,7.3,2022,0.13204787234042553,0.15697575860315308,0.16226415094339622,0.024927886262727544,0.030216278602970686
Christian McCaffrey,1,2022,0.10386968085106384,0.10289879640617054,0.08113207547169811,-9.708844448932941e-4,-0.022737605379365727
